location,name,price,url
"Newark, NJ",Newly Renovated Apartment Units For Rent,$1200,http://newyork.craigslist.org/jsy/nfb/5570742966.html
Jersey City,"2 Bdrm For Lease. 2 bedroom one bath apartment next to Kennedy Blvd, near Bayonn",$1000,http://newyork.craigslist.org/jsy/abo/5565615209.html
"Irvington, NJ",Renovated Apartment Units For Rent,$1200,http://newyork.craigslist.org/jsy/nfb/5570715760.html
Jersey City,2 Bedroom - $1900 per month - Beautiful Shared Backyard!,$1900,http://newyork.craigslist.org/jsy/abo/5570659843.html
"Linden, NJ","HEAT, HOT WATER & COOKING GAS INCLUDED! (LC)",$1635,http://newyork.craigslist.org/jsy/abo/5540938466.html
"Linden, NJ","HEAT, HOT WATER & COOKING GAS INCLUDED! (LC)",$1410,http://newyork.craigslist.org/jsy/abo/5555971497.html
Springfield,"Why Pay High Rent in the City? ENJOY LIFE in Springfield, NJ! (SHCV)",$1825,http://newyork.craigslist.org/jsy/abo/5551854836.html
Springfield,"Why Pay High Rent in the City? ENJOY LIFE in Springfield, NJ! (SHCV)",$1880,http://newyork.craigslist.org/jsy/abo/5555924926.html
Jersey City/Bergen Lafayette,Beautiful 3bed/2bath Apt. Literail to Exchange Pl,$1675,http://newyork.craigslist.org/jsy/abo/5550960774.html
Jersey City Heights,Amazing Location In The Heights And Mins Fr NYC with WTC View,$1599,http://newyork.craigslist.org/jsy/abo/5563940858.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1449,http://newyork.craigslist.org/jsy/abo/5570183339.html
Jersey City,This is brand new construction at journal square,$1525,http://newyork.craigslist.org/jsy/abo/5570213479.html
"Newark, NJ",50 inch TV/WIFI/PARKING/LARGE APARTMENT FOR RENT,$1300,http://newyork.craigslist.org/jsy/abo/5523735334.html
"Jersey City, NJ/20 mins to NYC",No Fees*Perfect 4 a commuter!! 20 mins to NYC~ALL UTILITIES INCLUDED!!,$1375,http://newyork.craigslist.org/jsy/abo/5533652694.html
"Jersey City, NJ",$1350 1BD/1BTH 3 blocks to JSQ PATH,$1350,http://newyork.craigslist.org/jsy/abo/5570236958.html
Plainfield,3 bedroom Renovated Apt. Utilities Incld,$1650,http://newyork.craigslist.org/jsy/abo/5570045330.html
West New York,(Last one left) You can have it all!,$1850,http://newyork.craigslist.org/jsy/abo/5565239624.html
900 Crest Lane,AVAILABLE ASAP! 1BDR W/ LOFT! ONLY $1980! WILL NOT LAST! CALL NOW!,$1980,http://newyork.craigslist.org/jsy/abo/5569969299.html
900 Crest Lane,AVAILABLE ASAP! 1BDR W/ LOFT! ONLY $1980! WILL NOT LAST! CALL NOW!,$1980,http://newyork.craigslist.org/jsy/abo/5569943185.html
22 morton street,2 Bedroom Apt/Newly Renovated,$1800,http://newyork.craigslist.org/jsy/fee/5570152963.html
22 morton street,1 Bedroom Apt/Newly Renovated,$1100,http://newyork.craigslist.org/jsy/fee/5570150707.html
Passaic Park,"Luxury Sunny 1BR, utilities incl., spectacular view",$1570,http://newyork.craigslist.org/jsy/abo/5529027678.html
Journal Square Area - JERSEY CITY,"Sunny, Charming, JERSEY CITY, Near PATH TRAIN +PARKING option",$1275,http://newyork.craigslist.org/jsy/abo/5548621715.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1449,http://newyork.craigslist.org/jsy/abo/5569785773.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1399,http://newyork.craigslist.org/jsy/abo/5569769217.html
"Elizabeth, NJ",Clean and ready to move in today- 1 Bedroom Apartment,$1000,http://newyork.craigslist.org/jsy/abo/5562615070.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1399,http://newyork.craigslist.org/jsy/abo/5569787995.html
"Jersey City, NJ - 1 block from JSQ PATH",$1650 Furnished 2 BDRM apt. wshr/dryer included on Journal Square Path,$1650,http://newyork.craigslist.org/jsy/abo/5569742713.html
"Jersey City, NJ/20 mins to NYC",No Fees*ONE MONTH FREE ONE MONTH SECURITY~ALL UTILITIES INCLUDED!!,$1375,http://newyork.craigslist.org/jsy/abo/5549594219.html
"",Large 2 Bed/1Ba Apt -ALL Utilities included! with large backyard in JC,$1750,http://newyork.craigslist.org/jsy/abo/5565230101.html
Jersey City,$400 BROKER FEE!,$1125,http://newyork.craigslist.org/jsy/abo/5569688744.html
Weehawken,For Rent In Weehawken 2 Bdrm Apartment Unit,$1400,http://newyork.craigslist.org/jsy/abo/5564948484.html
West New York,Spacious 1BR apartment/condo,$1100,http://newyork.craigslist.org/jsy/abo/5569332866.html
Jersey City,Rent this apt today!,$1300,http://newyork.craigslist.org/jsy/abo/5569277312.html
Jersey City Hei,bdrm - first floor open rental,$1150,http://newyork.craigslist.org/jsy/abo/5558966569.html
Newark,3 bed room 2 full bath new construction in Newark,$1400,http://newyork.craigslist.org/jsy/abo/5569193943.html
WEEHAWKEN,A studio apartment,$1500,http://newyork.craigslist.org/jsy/abo/5569293891.html
Jersey City,Nice and bright 1 bedroom with hard wood floor through out,$1225,http://newyork.craigslist.org/jsy/abo/5564460635.html
Newark,3 bed room 2 full bath new construction in Newark,$1400,http://newyork.craigslist.org/jsy/abo/5569190931.html
jersey ,charming duplex apt in a townhouse with back yard no fees min to nyc,$1650,http://newyork.craigslist.org/jsy/abo/5569108678.html
"Fairview, NJ","Luxury 3 BR, 2 Bath, LR+DR Marble Bath, Granite Kitchen",$1995,http://newyork.craigslist.org/jsy/abo/5560032014.html
Hoboken,Beautiful spacious one bedroom condo in the heart of Hoboken,$1650,http://newyork.craigslist.org/jsy/abo/5568780068.html
Columbia Ave newark,Brand new house be the first to move in Sec 8 welcome,$1400,http://newyork.craigslist.org/jsy/abo/5568653585.html
Hoboken,Stunning PATH friendly penthouse with terrace and garage parking,$1900,http://newyork.craigslist.org/jsy/abo/5564044066.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1595,http://newyork.craigslist.org/jsy/abo/5538886558.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1700,http://newyork.craigslist.org/jsy/abo/5546846587.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1700,http://newyork.craigslist.org/jsy/abo/5546848318.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1700,http://newyork.craigslist.org/jsy/abo/5546845007.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1700,http://newyork.craigslist.org/jsy/abo/5546843337.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1595,http://newyork.craigslist.org/jsy/abo/5538888949.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1595,http://newyork.craigslist.org/jsy/abo/5538887468.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1595,http://newyork.craigslist.org/jsy/abo/5538888175.html
Linden,"Visit Your New Home, Steps to NJ Transit, All New Community",$1595,http://newyork.craigslist.org/jsy/abo/5538890478.html
"West New York, NJ",Large Two Bedroom Apt.-Ten Minutes from NYC,$1325,http://newyork.craigslist.org/jsy/abo/5568562779.html
Jersey City,GREAT APARTMENT 15 MIN COMMUTE TO WTC ALSO TO 34TH STREET-NOT FEE-,$1690,http://newyork.craigslist.org/jsy/abo/5564662559.html
900 Crest Lane,*5/7/16 MOVE-IN! SPACIOUS 1 BDR/1BA LOFT! WILL NOT LAST! CALL TODAY!*,$1980,http://newyork.craigslist.org/jsy/abo/5568405264.html
22 morton street,2 Bedroom Apt/Newly Renovated,$1800,http://newyork.craigslist.org/jsy/fee/5568530120.html
22 morton street,1 Bedroom Apt/Newly Renovated,$1100,http://newyork.craigslist.org/jsy/fee/5568527393.html
"",3 bedroom apartment for rent,$1600,http://newyork.craigslist.org/jsy/abo/5568336046.html
"Downtown Newark,NJ",Brand new 1 bedroom in Brown Stone mins to NYC,$1450,http://newyork.craigslist.org/jsy/abo/5526416759.html
Jersey City,2 Bed//2Bath Duplex- Private Backyard and Parking,$1650,http://newyork.craigslist.org/jsy/abo/5558884975.html
"Downtown Newark,NJ",Brand new 1 bedroom Brown Stone on Fulton St mins to NYC,$1450,http://newyork.craigslist.org/jsy/abo/5526394344.html
Jersey City,Newly renovated 3BR in JC heights! Mins to JSQ & NYC! No broker Fees!,$1750,http://newyork.craigslist.org/jsy/abo/5534299236.html
JOURNA,One bedroom in St Pauls -NO FEE,$1800,http://newyork.craigslist.org/jsy/abo/5568373429.html
jersey city,2 bedrooms Journal Square jersey city,$1150,http://newyork.craigslist.org/jsy/abo/5568287023.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1399,http://newyork.craigslist.org/jsy/abo/5568124722.html
Newark NJ,Large and brand new 3 bedroom in Newark NJ - Easy Access to NYC,$1375,http://newyork.craigslist.org/jsy/abo/5559250846.html
116 Booraem Ave,Nice and Spacious 2BR apartment near Parks & Restaurants/Shopping,$1500,http://newyork.craigslist.org/jsy/abo/5568202460.html
RAHWAY NJ,BEAUTIFUL SPACIOUS 2 BEDROOM RIGHT ACROSS FROM RAHWAY STATION!!,$1449,http://newyork.craigslist.org/jsy/abo/5568122575.html
Perth Amboy,"Spacious 1BR with bar, great for hosting, easy walk to train",$1300,http://newyork.craigslist.org/jsy/abo/5559125061.html
Jersey City-Greenville,JERSEY CITY 3BR/1BA APT. AVAIL NOW!,$1500,http://newyork.craigslist.org/jsy/abo/5560447664.html
Weehaw,12 Month Lease/July 1/FULLY FURNISHED/1BR/Condo/Blvd East-No Fee,$1850,http://newyork.craigslist.org/jsy/abo/5568033176.html
"Jersey City, NJ/20 mins to NYC",No Fees*ONE MONTH FREE ONE MONTH SECURITY~ALL UTILITIES INCLUDED!!,$1375,http://newyork.craigslist.org/jsy/abo/5560626471.html
South Edison,Town house for rent,$1850,http://newyork.craigslist.org/jsy/abo/5567863264.html
newar,newly renovated 3 bedroom,$1125,http://newyork.craigslist.org/jsy/abo/5567746921.html
Weehawken,"beautiful, completely renovated 1 bedroom apartment",$1950,http://newyork.craigslist.org/jsy/abo/5567557195.html
Union City,Spacious 2 Bedroom 1 Bathroom Apt. Available June 1! No broker Fee,$1520,http://newyork.craigslist.org/jsy/abo/5567410319.html
"",Fully renovated spacious 3 bed/2 bth in private house,$1495,http://newyork.craigslist.org/jsy/abo/5567432652.html
"Union, NJ","Condo FOR RENT by owner - Pool, Gated, Fireplace, CA Closets",$1600,http://newyork.craigslist.org/jsy/abo/5567491884.html
Hoboken,Stay Warm With Us! Utilities Included in This Renovated 1 bedroom!,$1525,http://newyork.craigslist.org/jsy/abo/5562962647.html
"North Bergen, NJ",PET FRIENDLY! 1 br co-op. Large dogs & cats allowed. Commuters Delight,$1900,http://newyork.craigslist.org/jsy/abo/5555830720.html
Jersy City JSQ Aree,Apartement for rent,$1500,http://newyork.craigslist.org/jsy/abo/5567312702.html
Journal Square,Huge 1BR plus Study in a Victorian House,$1500,http://newyork.craigslist.org/jsy/abo/5546854072.html
"Palisade Avenue, Union ",Superb 1 Bedroom Apt only 20 Minutes by Bus to Midtown NYC,$1195,http://newyork.craigslist.org/jsy/abo/5546576143.html
Jersey City,1 Bed + DEN/ 1 bath,$2000,http://newyork.craigslist.org/jsy/abo/5562716165.html
Lyndhurst NJ,"$1450/1BR/incl. office,computer,den room",$1450,http://newyork.craigslist.org/jsy/abo/5543679096.html
Lyndhurst NJ,"$1450/1BR/incl. office,computer,den room",$1450,http://newyork.craigslist.org/jsy/abo/5543672286.html
Lyndhurst NJ,"$1450/1BR/incl. office,computer,den room",$1450,http://newyork.craigslist.org/jsy/abo/5543677320.html
Lyndhurst NJ,"$1450/1BR/incl. office,computer,den room",$1450,http://newyork.craigslist.org/jsy/abo/5543682513.html
Lyndhurst NJ,"$1450/1BR/incl. office,computer,den room",$1450,http://newyork.craigslist.org/jsy/abo/5543680753.html
384 TRENTON,STUNNING LOFT IN SOUTH PATERSON/CLIFTON BORDER,$1850,http://newyork.craigslist.org/jsy/abo/5566916813.html
JOURNAL SQUARE,BEAUTIFUL JOURNAL SQUARE CONDO - AVAILABLE MAY 5TH,$1200,http://newyork.craigslist.org/jsy/abo/5566899000.html
Newark,Newly Renovated 3 bedroom,$1275,http://newyork.craigslist.org/jsy/abo/5566692782.html
Newark,Newly Renovated 3 bedroom,$1275,http://newyork.craigslist.org/jsy/abo/5566690749.html
Ne,Two bedroom,$1150,http://newyork.craigslist.org/jsy/abo/5566690063.html
Ne,Two bedroom,$1150,http://newyork.craigslist.org/jsy/abo/5566692057.html
"Jersey City, NJ/20 mins to NYC",No Fees*Perfect 4 a commuter!! 20 mins to NYC~ALL UTILITIES INCLUDED!!,$1375,http://newyork.craigslist.org/jsy/abo/5547833624.html
Guttenberg,"No broker fee, Owner screened and lives 1 town over",$1375,http://newyork.craigslist.org/jsy/abo/5566515973.html
